CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
2,3,Siang,4,3,Bakmie,Rasa makanan,5,4,4,4,4,4,4,4,5,3
2,3,Siang,4,3,Makanan berbasis nasi,Variasi makanan,4,3,5,2,3,4,4,4,3,2
2,1,Siang,4,2,Makanan berbasis nasi,Rasa makanan,4,4,4,2,3,4,4,3,2,4
3,1,Siang,2,2,Makanan berbasis nasi,Rasa makanan,4,3,3,2,3,3,5,1,1,5
2,3,Siang,3,2,Makanan berbasis nasi,Fasilitas,4,4,4,3,3,4,5,2,1,5
0,4,Pagi,4,4,Makanan berbasis nasi,Lokasi,4,3,4,4,4,3,4,2,2,5
1,3,Siang,2,4,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,4,3,4,4,4,2,4
0,5,Siang,3,2,Makanan berbasis nasi,Fasilitas,5,5,5,3,4,5,5,5,4,5
3,1,Siang,1,2,Makanan berbasis nasi,Variasi makanan,4,3,5,5,4,5,5,4,1,4
3,0,Siang,2,2,Makanan berbasis nasi,Lokasi,5,3,5,5,5,5,5,3,4,5
1,2,Pagi,2,2,Makanan berbasis nasi,Rasa makanan,4,2,2,3,4,3,1,4,3,5
2,3,Siang,2,1,Makanan berbasis nasi,Fasilitas,3,3,3,3,3,3,3,3,3,3
2,2,Siang,1,3,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,4,3,4,4,3,2,4
2,2,Siang,2,2,Makanan berbasis nasi,Lokasi,4,4,4,3,3,4,4,5,2,4
2,3,Siang,1,2,Makanan berbasis nasi,Rasa makanan,4,2,4,2,2,4,4,4,2,4
1,3,Siang,2,3,Makanan berbasis nasi,Lokasi,3,2,1,2,3,2,1,3,1,4
2,2,Siang,3,3,Makanan berbasis nasi,Rasa makanan,5,4,5,3,3,3,4,2,1,5
2,2,Siang,3,2,Makanan berbasis nasi,Lokasi,4,4,5,5,5,4,4,4,2,5
3,1,Siang,3,2,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,5,5,5,4,1,3,4
2,3,Siang,3,2,Makanan berbasis nasi,Lokasi,4,5,5,5,5,5,5,5,5,4
2,3,Siang,3,2,Makanan berbasis nasi,Lokasi,4,2,5,2,3,5,5,4,2,4
2,3,Siang,4,3,Makanan berbasis nasi,Variasi makanan,5,5,5,5,5,5,5,5,5,5
3,1,Siang,2,2,Makanan berbasis nasi,Rasa makanan,3,3,3,3,3,3,3,3,3,3
2,3,Siang,5,2,Makanan berbasis nasi,Lokasi,4,4,5,3,3,3,4,4,1,4
3,0,Siang,4,2,Makanan berbasis nasi,kalo kepepet,4,3,4,3,2,4,4,4,1,3
1,3,Siang,4,2,Makanan berbasis nasi,Lokasi,5,4,5,4,4,3,3,3,1,5
2,3,Siang,3,3,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,4,4
3,1,Siang,3,2,Makanan berbasis nasi,Fasilitas,5,5,5,5,3,5,5,4,1,5
2,3,Siang,4,2,Makanan berbasis nasi,Lokasi,4,4,5,4,3,4,5,2,2,5
3,1,Siang,4,3,Makanan berbasis nasi,Lokasi,4,3,4,2,3,4,3,4,4,3
1,3,Siang,3,4,Makanan berbasis nasi,Variasi makanan,4,3,3,3,1,2,3,2,2,4
3,0,Siang,4,0,Cemilan ringan,Lokasi,5,4,2,5,5,5,4,5,1,5
2,2,Siang,4,4,Makanan berbasis nasi,Variasi makanan,4,3,4,3,3,3,3,4,3,3
2,3,Sore,1,2,Makanan berbasis nasi,Lokasi,3,3,3,3,3,3,3,3,3,3
2,4,Siang,4,2,Makanan berbasis nasi,Lokasi,4,3,4,3,2,4,3,4,1,4
2,2,Siang,4,3,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,3,3,4,4,4,2,4
2,2,Siang,3,3,Makanan berbasis nasi,Lokasi,4,4,5,5,5,5,5,4,2,5
2,4,Sore,2,2,Makanan berbasis nasi,Lokasi,4,4,4,4,4,5,4,4,1,5
2,3,Siang,2,2,Makanan berbasis nasi,Variasi makanan,4,4,3,4,5,3,5,3,3,4
2,4,Siang,3,3,Makanan berbasis nasi,Lokasi,4,4,4,4,4,5,5,1,2,5
1,1,Siang,3,3,Makanan berbasis nasi,Fasilitas,4,5,5,4,3,4,4,4,3,4
0,4,Siang,3,2,Makanan berbasis nasi,Lokasi,5,5,5,3,3,5,5,4,1,4
3,1,Siang,1,3,Makanan berbasis nasi,Rasa makanan,5,4,5,5,5,5,5,5,3,5
3,0,Siang,4,2,Makanan berbasis nasi,Lokasi,3,2,4,3,3,4,4,4,1,4
2,2,Siang,2,2,Makanan berbasis nasi,Lokasi,4,4,3,2,3,5,5,4,2,5
2,3,Siang,3,2,Makanan berbasis nasi,Lokasi,4,4,4,3,3,3,3,3,2,3
2,2,Siang,3,2,Cemilan ringan,Variasi makanan,5,5,5,3,3,5,5,2,4,5
2,3,Siang,3,2,Makanan berbasis nasi,Lokasi,4,3,5,4,2,5,5,5,1,3
2,3,Siang,5,3,Makanan berbasis nasi,Lokasi,3,4,3,2,3,3,3,3,2,4
2,3,Pagi,3,1,Makanan berbasis nasi,Lokasi,3,4,3,3,4,4,3,4,4,4
1,2,Siang,4,2,Makanan berbasis nasi,Lokasi,4,4,5,3,4,5,4,5,5,4
2,3,Siang,3,4,Makanan berbasis nasi,Lokasi,4,2,4,4,2,5,4,3,2,5
3,1,Siang,5,2,Makanan berbasis nasi,Fasilitas,4,3,4,3,3,4,5,3,1,5
1,3,Siang,5,1,Makanan berbasis nasi,Rasa makanan,4,4,4,4,4,3,4,4,3,3
0,5,Siang,4,2,Makanan cepat saji,Variasi makanan,4,4,3,4,4,4,3,3,4,2
2,3,Sore,1,2,Makanan berbasis nasi,Lokasi,4,3,4,3,2,3,4,3,4,4
2,4,Sore,3,3,Makanan cepat saji,Variasi makanan,4,4,4,4,4,4,4,4,4,4
1,4,Pagi,4,3,Makanan berbasis nasi,Variasi makanan,1,4,5,4,3,4,4,3,4,4
0,6,Pagi,6,2,Makanan cepat saji,Rasa makanan,3,3,3,3,3,3,3,3,3,3
0,3,Pagi,1,0,Minuman,Lokasi,3,3,3,3,3,3,4,4,4,3
2,3,Siang,2,1,Makanan berbasis mie/kwetiau/bihun/dsb.,Fasilitas,1,3,3,4,4,3,3,2,3,3
2,3,Siang,4,3,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
3,0,Siang,2,2,Makanan berbasis nasi,Variasi makanan,4,4,3,3,4,3,4,4,3,3
2,2,Sore,3,2,Makanan cepat saji,Variasi makanan,3,4,4,4,2,3,3,4,3,4
2,3,Siang,4,3,Makanan berbasis nasi,Lokasi,3,4,2,3,3,2,4,3,3,4
0,4,Siang,4,3,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,4,4,4,4,4,4
1,2,Sore,4,2,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
2,2,Siang,3,2,Makanan berbasis nasi,Lokasi,5,5,5,5,5,5,5,5,5,5
