Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
15/05/2025 14:46,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 26.000 - Rp 30.000,Bakmie,Rasa makanan,5,4,4,4,4,4,4,4,5,3
15/05/2025 14:47,B26,Jarang atau tidak pernah,2,Siang,2,> Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,5,2,3
15/05/2025 14:50,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,3,5,2,3,4,4,4,3,2
15/05/2025 14:52,B27,Beberapa kali dalam satu minggu,1,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Rasa makanan,4,4,4,2,3,4,4,3,2,4
15/05/2025 14:55,B27,Jarang atau tidak pernah,1,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Rasa makanan,4,3,3,2,3,3,5,1,1,5
15/05/2025 14:56,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Fasilitas,4,4,4,3,3,4,5,2,1,5
15/05/2025 14:57,B27,Beberapa kali dalam sehari,4,Pagi,4,> Rp 30.000,Makanan berbasis nasi,Lokasi,4,3,4,4,4,3,4,2,2,5
15/05/2025 14:58,B27,Sehari sekali,3,Siang,2,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,4,3,4,4,4,2,4
15/05/2025 14:59,B27,Beberapa kali dalam sehari,5,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Fasilitas,5,5,5,3,4,5,5,5,4,5
15/05/2025 15:01,B26,Beberapa kali dalam satu minggu,3,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Rasa makanan,4,4,1,3,3,1,1,1,2,4
15/05/2025 15:05,B27,Jarang atau tidak pernah,1,Siang,1,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Variasi makanan,4,3,5,5,4,5,5,4,1,4
15/05/2025 15:05,B27,Jarang atau tidak pernah,0,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,5,3,5,5,5,5,5,3,4,5
15/05/2025 15:05,B27,Sehari sekali,2,Pagi,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Rasa makanan,4,2,2,3,4,3,1,4,3,5
15/05/2025 15:07,B27,Beberapa kali dalam satu minggu,3,Siang,2,Rp 16.000 - Rp 20.000,Makanan berbasis nasi,Fasilitas,3,3,3,3,3,3,3,3,3,3
15/05/2025 15:10,B27,Beberapa kali dalam satu minggu,2,Siang,1,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,4,3,4,4,3,2,4
15/05/2025 15:19,B27,Beberapa kali dalam satu minggu,2,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,4,3,3,4,4,5,2,4
15/05/2025 15:23,B27,Beberapa kali dalam satu minggu,3,Siang,1,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Rasa makanan,4,2,4,2,2,4,4,4,2,4
15/05/2025 15:27,B27,Sehari sekali,3,Siang,2,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,3,2,1,2,3,2,1,3,1,4
15/05/2025 15:30,B27,Beberapa kali dalam satu minggu,2,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Rasa makanan,5,4,5,3,3,3,4,2,1,5
15/05/2025 15:40,B27,Beberapa kali dalam satu minggu,2,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,5,5,5,4,4,4,2,5
15/05/2025 16:00,B28,Beberapa kali dalam satu minggu,3,Pagi,4,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,5,3,3,2,3,4,1,5
15/05/2025 16:23,B27,Jarang atau tidak pernah,1,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,5,5,5,4,1,3,4
15/05/2025 16:40,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,5,5,5,5,5,5,5,5,4
15/05/2025 16:43,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,2,5,2,3,5,5,4,2,4
15/05/2025 17:14,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,5,5,5,5,5,5,5,5,5,5
15/05/2025 19:17,B27,Jarang atau tidak pernah,1,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Rasa makanan,3,3,3,3,3,3,3,3,3,3
15/05/2025 20:17,B27,Beberapa kali dalam satu minggu,3,Siang,5,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,5,3,3,3,4,4,1,4
16/05/2025 05:43,B27,Jarang atau tidak pernah,0,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,kalo kepepet,4,3,4,3,2,4,4,4,1,3
16/05/2025 10:26,B27,Sehari sekali,3,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,5,4,5,4,4,3,3,3,1,5
16/05/2025 22:18,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,4,4
16/05/2025 22:19,B27,Jarang atau tidak pernah,1,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Fasilitas,5,5,5,5,3,5,5,4,1,5
16/05/2025 22:48,B26,Beberapa kali dalam satu minggu,1,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,5,4,4,4,3,4,4,4
16/05/2025 22:53,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,5,4,3,4,5,2,2,5
17/05/2025 12:26,B27,Jarang atau tidak pernah,1,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,4,3,4,2,3,4,3,4,4,3
17/05/2025 12:26,B27,Sehari sekali,3,Siang,3,> Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,3,3,3,1,2,3,2,2,4
